Country;Total Deaths;Total Recovered;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual
Swaziland;1,315;61,621;432,678;1,178,239;4,308;0,071;9,065;0,77;50,833;0,647;-0,185;0,708;2,43;0,849;0,693;0,074;0,323;0,067;0,147;2,155
Sweden;15,286;1,201,973;15,268,363;10,194,049;7,363;0,036;10,867;0,934;72,7;0,945;0,086;0,237;2,43;1,478;1,062;0,763;0,685;0,244;0,448;2,683
Switzerland;12,359;1,051,308;14,490,481;8,749,879;7,571;0,036;11,117;0,942;74,4;0,919;0,025;0,292;2,43;1,566;1,079;0,816;0,653;0,204;0,413;2,839
Taiwan;850;15,909;9,342,349;23,881,673;6,584;0,038;10,871;0,898;69,6;0,784;-0,07;0,721;2,43;1,48;0,982;0,665;0,49;0,142;0,139;2,687
Tajikistan;124;16,966;;9,859,632;5,466;0,034;8,091;0,86;64,281;0,832;-0,056;0,553;2,43;0,508;0,895;0,498;0,548;0,152;0,247;2,619
Tanzania;737;N/A;;62,290,040;3,623;0,071;7,876;0,702;57,999;0,833;0,183;0,577;2,43;0,433;0,54;0,3;0,549;0,307;0,231;1,263
Thailand;21,75;2,180,321;17,270,775;70,063,653;5,985;0,047;9,805;0,888;67,401;0,884;0,287;0,895;2,43;1,107;0,957;0,596;0,611;0,375;0,028;2,309
Togo;251;26,219;621,097;8,570,332;4,107;0,077;7,362;0,569;54,914;0,619;0,032;0,772;2,43;0,254;0,239;0,203;0,289;0,209;0,107;2,806
Tunisia;25,588;696,893;3,396,130;12,004,701;4,596;0,058;9,266;0,691;67,201;0,656;-0,201;0,87;2,43;0,919;0,515;0,59;0,334;0,057;0,044;2,138
Turkey;82,795;9,136,290;119,794,419;85,704,606;4,948;0,046;10,24;0,822;67,199;0,576;-0,139;0,776;2,43;1,26;0,809;0,59;0,236;0,097;0,104;1,852
Uganda;3,306;98,497;2,166,777;47,910,290;4,636;0,073;7,677;0,781;56,101;0,709;0,122;0,855;2,43;0,364;0,718;0,24;0,398;0,267;0,054;2,596
Ukraine;96,436;3,483,354;16,835,647;43,338,099;4,875;0,052;9,436;0,888;64,902;0,724;-0,011;0,924;2,43;0,979;0,958;0,517;0,417;0,181;0,01;1,813
United Arab Emirates;2,17;748,511;113,013,841;10,070,188;6,561;0,039;11,085;0,844;67,333;0,932;0,074;0,589;2,43;1,555;0,86;0,594;0,67;0,236;0,223;2,422
United Kingdom;148,893;10,460,659;404,382,130;68,422,788;7,064;0,038;10,707;0,934;72,5;0,859;0,233;0,459;2,43;1,423;1,062;0,757;0,58;0,34;0,306;2,596
United States;848,885;41,722,468;817,668,437;333,924,197;6,951;0,049;11,023;0,92;68,2;0,837;0,098;0,698;2,43;1,533;1,03;0,621;0,554;0,252;0,154;2,807
Uruguay;6,177;400,381;4,446,124;3,491,853;6,431;0,046;9,966;0,925;69,1;0,896;-0,092;0,59;2,43;1,164;1,042;0,649;0,625;0,128;0,223;2,6
Uzbekistan;1,485;196,539;1,377,915;34,198,831;6,179;0,068;8,836;0,918;65,255;0,97;0,311;0,515;2,43;0,769;1,027;0,528;0,716;0,391;0,271;2,477
Venezuela;5,335;435,097;3,359,014;28,314,621;4,892;0,064;9,073;0,861;66,7;0,615;-0,169;0,827;2,43;0,852;0,897;0,574;0,284;0,078;0,072;2,135
Vietnam;33,021;1,397,157;75,170,635;98,656,568;5,411;0,039;8,973;0,85;68,034;0,94;-0,098;0,796;2,43;0,817;0,873;0,616;0,679;0,124;0,091;2,211
Yemen;1,984;7,039;265,253;30,813,353;3,658;0,07;7,578;0,832;57,122;0,602;-0,147;0,8;2,43;0,329;0,831;0,272;0,268;0,092;0,089;1,776
Zambia;3,762;230,494;2,996,026;19,157,388;4,073;0,069;8,145;0,708;55,809;0,782;0,061;0,823;2,43;0,528;0,552;0,231;0,487;0,227;0,074;1,975
