Country;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;
South Africa;91312;3224152;21304188;60433670;4,956;0,060;9,403;0,860;56,904;0,749;-0,067;0,860;2,430;0,967;0,895;0,265;0,447;0,144;0,051;2,187;;
South Korea;5781;537043;15804065;51335615;5,845;0,042;10,651;0,799;73,900;0,672;-0,083;0,727;2,430;1,403;0,758;0,801;0,353;0,134;0,135;2,262;;
Spain;89573;5099647;66213858;46782044;6,491;0,042;10,571;0,932;74,700;0,761;-0,081;0,745;2,430;1,375;1,057;0,826;0,462;0,135;0,124;2,513;;
Sri Lanka;15037;561128;5726599;21548402;4,325;0,066;9,470;0,827;67,299;0,841;0,079;0,863;2,430;0,990;0,820;0,593;0,559;0,239;0,049;1,075;;
Swaziland;1315;61621;432678;1178239;4,308;0,071;9,065;0,770;50,833;0,647;-0,185;0,708;2,430;0,849;0,693;0,074;0,323;0,067;0,147;2,155;;
Sweden;15286;1201973;15268363;10194049;7,363;0,036;10,867;0,934;72,700;0,945;0,086;0,237;2,430;1,478;1,062;0,763;0,685;0,244;0,448;2,683;;
Switzerland;12359;1051308;14490481;8749879;7,571;0,036;11,117;0,942;74,400;0,919;0,025;0,292;2,430;1,566;1,079;0,816;0,653;0,204;0,413;2,839;;
Taiwan;850;15909;9342349;23881673;6,584;0,038;10,871;0,898;69,600;0,784;-0,070;0,721;2,430;1,480;0,982;0,665;0,490;0,142;0,139;2,687;;
Tajikistan;124;16966;;9859632;5,466;0,034;8,091;0,860;64,281;0,832;-0,056;0,553;2,430;0,508;0,895;0,498;0,548;0,152;0,247;2,619;;
Tanzania;737;N/A;;62290040;3,623;0,071;7,876;0,702;57,999;0,833;0,183;0,577;2,430;0,433;0,540;0,300;0,549;0,307;0,231;1,263;;
Thailand;2175;2180321;17270775;70063653;5,985;0,047;9,805;0,888;67,401;0,884;0,287;0,895;2,430;1,107;0,957;0,596;0,611;0,375;0,028;2,309;;
Togo;251;26219;621097;8570332;4,107;0,077;7,362;0,569;54,914;0,619;0,032;0,772;2,430;0,254;0,239;0,203;0,289;0,209;0,107;2,806;;
Tunisia;25588;696893;3396130;12004701;4,596;0,058;9,266;0,691;67,201;0,656;-0,201;0,870;2,430;0,919;0,515;0,590;0,334;0,057;0,044;2,138;;
Turkey;82795;9136290;119794419;85704606;4,948;0,046;10,240;0,822;67,199;0,576;-0,139;0,776;2,430;1,260;0,809;0,590;0,236;0,097;0,104;1,852;;
Uganda;3306;98497;2166777;47910290;4,636;0,073;7,677;0,781;56,101;0,709;0,122;0,855;2,430;0,364;0,718;0,240;0,398;0,267;0,054;2,596;;
Ukraine;96436;3483354;16835647;43338099;4,875;0,052;9,436;0,888;64,902;0,724;-0,011;0,924;2,430;0,979;0,958;0,517;0,417;0,181;0,010;1,813;;
United Arab Emirates;217;748511;113013841;10070188;6,561;0,039;11,085;0,844;67,333;0,932;0,074;0,589;2,430;1,555;0,860;0,594;0,670;0,236;0,223;2,422;;
United Kingdom;148893;10460659;404382130;68422788;7,064;0,038;10,707;0,934;72,500;0,859;0,233;0,459;2,430;1,423;1,062;0,757;0,580;0,340;0,306;2,596;;
United States;848885;41722468;817668437;333924197;6,951;0,049;11,023;0,920;68,200;0,837;0,098;0,698;2,430;1,533;1,030;0,621;0,554;0,252;0,154;2,807;;
Uruguay;6177;400381;4446124;3491853;6,431;0,046;9,966;0,925;69,100;0,896;-0,092;0,590;2,430;1,164;1,042;0,649;0,625;0,128;0,223;2,600;;
Uzbekistan;1485;196539;1377915;34198831;6,179;0,068;8,836;0,918;65,255;0,970;0,311;0,515;2,430;0,769;1,027;0,528;0,716;0,391;0,271;2,477;;
Venezuela;5335;435097;3359014;28314621;4,892;0,064;9,073;0,861;66,700;0,615;-0,169;0,827;2,430;0,852;0,897;0,574;0,284;0,078;0,072;2,135;;
Vietnam;33021;1397157;75170635;98656568;5,411;0,039;8,973;0,850;68,034;0,940;-0,098;0,796;2,430;0,817;0,873;0,616;0,679;0,124;0,091;2,211;;
Yemen;1984;7039;265253;30813353;3,658;0,070;7,578;0,832;57,122;0,602;-0,147;0,800;2,430;0,329;0,831;0,272;0,268;0,092;0,089;1,776;;
Zambia;3762;230494;2996026;19157388;4,073;0,069;8,145;0,708;55,809;0,782;0,061;0,823;2,430;0,528;0,552;0,231;0,487;0,227;0,074;1,975;;
Zimbabwe;5047;185594;1857129;15188375;3,145;0,058;7,943;0,750;56,201;0,677;-0,047;0,821;2,430;0,457;0,649;0,243;0,359;0,157;0,075;1,205;;
