"Country","Continent","Total Deaths","Total Cases","Total Tests","Population","Ladder score","Standard error of ladder score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption"
"Germany","Europe","113191","6531900","89622218","84187242","7.16","0.04","10.87","0.90","72","0.88","0.01","0.46"
"Ghana","Africa","1309","132869","2138224","32047994","5.09","0.07","8.58","0.73","58","0.81","0.12","0.85"
"Greece","Europe","2099","1023452","47975626","10346388","5.72","0.05","10.28","0.82","73","0.58","-0.29","0.82"
"Guatemala","North America","1611","608748","3283166","18413884","6.43","0.07","9.05","0.81","65","0.91","-0.04","0.78"
"Guinea","Africa","391","29922","572612","13667967","4.98","0.09","7.84","0.64","55","0.70","0.10","0.77"
"Haiti","North America","766","23353","132422","11611658","3.62","0.17","7.48","0.54","56","0.59","0.42","0.72"
"Honduras","North America","10434","124171","1139978","10141533","5.92","0.08","8.65","0.81","67","0.86","0.08","0.81"
"Hong Kong","Asia","213","12214","30074074","7588517","5.48","0.05","11.00","0.84","77","0.72","0.07","0.40"
"Hungary","Europe","39517","1124945","9211426","9623416","5.99","0.05","10.36","0.94","68","0.76","-0.19","0.88"
"Iceland","Europe","38","23861","1401240","344576","7.55","0.06","10.88","0.98","73","0.95","0.16","0.67"
"India","Asia","482017","34306414","682428595","1400420753","3.82","0.03","8.76","0.60","61","0.89","0.09","0.77"
"Indonesia","Asia","144105","4114969","64158227","277875710","5.34","0.06","9.37","0.81","62","0.87","0.54","0.87"
"Iran","Asia","131736","6044247","42281617","85610313","4.72","0.06","9.58","0.71","66","0.61","0.22","0.71"
"Iraq","Asia","24182","2066049","16865438","41579139","4.85","0.06","9.24","0.75","61","0.63","-0.05","0.88"
"Ireland","Europe","5912","583182","9975030","5020776","7.08","0.04","11.34","0.95","72","0.88","0.08","0.36"
"Israel","Asia","8247","1354849","39492099","9326000","7.16","0.03","10.57","0.94","74","0.80","0.03","0.75"
"Italy","Europe","137786","5133272","141992517","60327961","6.48","0.04","10.62","0.88","74","0.69","-0.08","0.87"
"Ivory Coast","Africa","720","62517","1240423","27359845","5.31","0.08","8.55","0.64","50","0.74","-0.02","0.79"
"Jamaica","North America","2477","65937","71242","2980623","6.31","0.16","9.19","0.88","68","0.89","-0.14","0.88"
"Japan","Asia","18396","1712736","29405470","125893458","5.94","0.04","10.61","0.88","75","0.80","-0.26","0.64"
"Jordan","Asia","12742","1027501","13637305","10355554","4.39","0.06","9.18","0.77","67","0.76","-0.17","0.70"
"Kazakhstan","Asia","13025","961806","11575012","19114618","6.15","0.05","10.15","0.95","65","0.85","-0.07","0.73"
"Kenya","Africa","5401","258533","3056954","55551636","4.61","0.07","8.36","0.69","61","0.78","0.29","0.82"
"Kuwait","Asia","2468","412073","6025332","4365570","6.11","0.07","10.82","0.84","67","0.87","-0.10","0.74"
"Kyrgyzstan","Asia","2805","179947","1907195","6686076","5.74","0.05","8.54","0.89","64","0.94","0.12","0.91"
